Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
185	Maastricht Carnival	Maastricht	Netherlands	Europe	2026-03-02	2026-03-04	4	4	3	3	3.5	carnival_parade	Street celebrations, Group trips, Winter travel	Carnival (known as Shrovetide in certain localities) is a festive season that occurs at the close of the Christian pre-Lenten period, consisting of Quinquagesima or Shrove Sunday, Shrove Monday, and Shrove Tuesday or Mardi Gras. Carnival typically involves public celebrations, including events such as parades, public street parties and other entertainments, combining some elements of a circus. Elaborate costumes and masks allow people to set aside their everyday individuality and experience a heightened sense of social unity. Participants often indulge in excessive consumption of alcohol, meat, and other foods that will be forgone during upcoming Lent. Traditionally, butter, milk, and other animal products were not consumed "excessively", rather, their stock was fully consumed during Shrovetide as to reduce waste.…
186	Madonna della Bruna Matera	Matera	Italy	Europe	2026-07-02	2026-07-02	4	5	5	3	4.25	religious_spiritual, carnival_parade, cultural_heritage	Traditional heritage, Photography, Cultural immersion	We couldn’t match a solid English Wikipedia entry for “Madonna della Bruna Matera” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Matera, Italy, around your listed dates—double-check schedules with organizers.
187	Maslenitsa	Moscow	Russia	Europe	2026-02-23	2026-03-01	4	4	5	3	4	seasonal, cultural_heritage	Winter travel, Food travel, Traditional heritage	Maslenitsa (Belarusian: Масленіца; Russian: Мaсленица [ˈmas⁽ʲ⁾lʲɪnʲɪt͡sə]; Rusyn: Пущаня; Ukrainian: Масниця), also known as Butter Lady, Butter Week, Crepe week, or Cheesefare Week, is an Eastern Slavic religious and folk holiday which has retained a number of elements of Slavic mythology in its ritual. It is celebrated during the last week before Great Lent; that is, the eighth week before Eastern Orthodox Pascha, equivalent to the West's Sexagesima. The date of Maslenitsa changes every year, depending on the date of the celebration of Easter. It corresponds to the Western Christian Carnival, except that Orthodox Lent begins on a Monday instead of a Wednesday, and the Orthodox date of Easter can differ greatly from the Western Christian date. The traditional attributes of the Maslenitsa celebration are the Maslenitsa effigy, sleigh rides, and festivities.…
188	Maslenitsa Pancake Week	Moscow	Russia	Europe	2026-03-09	2026-03-15	4	4	4	3	3.75	seasonal, cultural_heritage	Cultural immersion, Traditional heritage, Food travel	Maslenitsa (Butter Week / Pancake Week) is the Slavic pre-Lenten festival — a week of blini (pancakes), sledding, snow fortress battles, and the burning of a straw effigy representing winter. In Moscow's Gorky Park and Kolomenskoye estate, the festival is staged with traditional costumes, folk music, tug-of-war on ice, and enormous quantities of food. The burning of Lady Maslenitsa on the final Sunday — Forgiveness Sunday — is genuinely moving: a collective release before the austerity of Lent.
189	Mnarja Nadur Gozo	Nadur	Malta	Europe	2026-06-28	2026-06-29	4	4	5	3	4	religious_spiritual, seasonal, cultural_heritage	Traditional heritage, Food travel, Local authenticity	We couldn’t match a solid English Wikipedia entry for “Mnarja Nadur Gozo” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Nadur, Malta, around your listed dates—double-check schedules with organizers.
190	Nadur Carnival Gozo	Nadur	Malta	Europe	2026-02-12	2026-02-17	5	5	4	3	4.25	carnival_parade, cultural_heritage	Street celebrations, Local authenticity, Photography	The Nadur Carnival is unique among the many manifestations of Carnival. It is not organized by any committee and subsequently no rules apply. Sunset invites a multitude of masked and hooded creatures to throng the streets of Nadur - creatures wearing all kinds of funny and grotesque costumes. Nadur is a small locality with a population of 4500, on the island of Gozo - the sister island of Malta - in the middle of the Mediterranean about 50 km south of Sicily. It is run by a Local Council with 5 elected members: the Mayor, Deputy Mayor and 3 Councilors with one full-time Executive Secretary. Besides the religious feast of St. Peter & St. Paul, known locally as "L-Imnarja" held on 29 June and which lasts a whole week, Nadur is also famous for its annual revelry held on the 5 days preceding Ash Wednesday, the beginning of Lent.…
191	Notte della Taranta	Melpignano	Italy	Europe	2026-08-22	2026-08-27	4	5	5	3	4.25	music, cultural_heritage	Music lovers, Traditional heritage, Summer travel	Notte della Taranta ('Taranta Night') is a music festival in Salento, Italy. The Notte della Taranta is focused on pizzica, a popular folk genre in Salento, and takes place in various municipalities in the province of Lecce and the Grecìa Salentina, especially in Melpignano. It gives great importance to the folk music tradition of taranta and pizzica, and it is a resource for tourism in Apulia. The festival tours around Salento, normally culminating in a grand finale concert in Melpignano in August, which lasts until late night. An average of 120,000 spectators attend the last concert every year. The festival started in 1998 by an initiative of several municipalities of the Salento, which sponsored the event. Every year a new musical director is chosen. In 2015, Ludovico Einaudi released his album Taranta Project, inspired by his time directing the festival.
192	Obby Oss Festival	Padstow	United Kingdom	Europe	2026-05-01	2026-05-01	4	4	5	3	4	seasonal, cultural_heritage	Traditional heritage, Local authenticity, Street celebrations	The 'Obby 'Oss festival () is a folk custom that takes place each 1st of May in Padstow, a coastal town in North Cornwall. It involves two separate processions making their way around the town, each containing an eponymous hobby horse known as the 'Obby 'Oss. The festival starts at midnight on the 30th of April when townspeople gather outside the Golden Lion Inn to sing the "Night Song". By morning, the town has been dressed with greenery and flowers placed around the maypole. The excitement begins with the appearance of one of the 'Obby 'Osses. Male dancers cavort through the town dressed as one of two 'Obby 'Osses, the "Old" and the "Blue Ribbon" or "Methodist" 'Obby 'Osses; as the name suggests, they are stylised depictions of horses. Prodded on by assistants known as "Teasers", each wears a mask and black frame-hung cape under which they try to catch young maidens as they pass through the town.…
193	Olsok Trondheim	Trondheim	Norway	Europe	2026-07-29	2026-07-29	2	4	5	3	3.5	religious_spiritual, cultural_heritage, historical	Religious significance, Traditional heritage, Cultural immersion	Olsok (lit. 'Olaf's Wake' or 'Olaf's Vigil') is a national day of celebration on July 29 in the Nordic countries of Norway and the Faroe Islands, and also in the provinces of Härjedalen in Sweden and Savonlinna in Finland.
194	Ommegang — Brussels	Brussels	Belgium	Europe	2026-07-02	2026-07-05	3	5	5	3	4	historical, carnival_parade	Traditional heritage, Cultural immersion, Photography	The Ommegang of Brussels (French: Ommegang de Bruxelles; Dutch: Ommegang van Brussel) is a traditional Ommegang, a type of medieval pageant, held annually in Brussels, Belgium. It is celebrated for its elaborate display and deep cultural significance. Originating in the 14th century as Brussels' largest lustral procession honouring a miraculous statue of the Virgin Mary, the event gradually evolved into a civic spectacle involving all the city's constituents. Since 1930, it has taken the form of a historical reenactment of the Joyous Entry of Emperor Charles V and his son, Philip II, in the city in 1549. The colourful parade includes floats, traditional processional giants, and scores of folkloric groups, either on foot or on horseback, dressed in medieval garb. As such, it joins the wider tradition of processions of notable riders and giants found throughout Belgium and northern France.…
195	Onam Festival	Thrissur	India	Asia	2026-08-27	2026-09-05	4	5	5	3	4.25	cultural_heritage, seasonal	Cultural immersion, Traditional heritage, Food travel	Onam is Kerala's most important harvest festival — a 10-day celebration of the mythical King Mahabali's annual return to his kingdom. The festival features the Vallamkali snake boat races on the Pampa river, spectacular pookalam floral carpets laid outside every home, Thiruvathirakali dance, and the elaborate Onasadya feast of 26 dishes served on banana leaves. The Thrissur Pooram (held earlier in the year) is often confused with Onam but both represent Kerala's extraordinary festival culture.
196	Otaru Snow Light Path Festival	Otaru	Japan	Asia	2026-02-07	2026-02-16	2	5	3	3	3.25	seasonal, arts	Photography, Winter travel, Romantic getaway	The Otaru Snow Light Path Festival (Yuki Akari no Michi) lines the city's famous canal and side streets with thousands of hand-made snow lanterns and candles. Unlike Sapporo's grand ice sculptures, Otaru's festival is intimate — glowing lanterns reflected in the canal, jazz drifting from nearby bars, steam from hot drinks. The combination of Meiji-era stone warehouses, candlelit snow, and the quiet canal makes it one of Japan's most photogenic winter events. Often combined with a day trip from Sapporo (40 min by train).
197	Patras Carnival (Apokries)	Patras	Greece	Europe	2026-02-15	2026-02-22	5	5	3	3	4	carnival_parade	Street celebrations, Winter travel, Nightlife	Carnival (known as Shrovetide in certain localities) is a festive season that occurs at the close of the Christian pre-Lenten period, consisting of Quinquagesima or Shrove Sunday, Shrove Monday, and Shrove Tuesday or Mardi Gras. Carnival typically involves public celebrations, including events such as parades, public street parties and other entertainments, combining some elements of a circus. Elaborate costumes and masks allow people to set aside their everyday individuality and experience a heightened sense of social unity. Participants often indulge in excessive consumption of alcohol, meat, and other foods that will be forgone during upcoming Lent. Traditionally, butter, milk, and other animal products were not consumed "excessively", rather, their stock was fully consumed during Shrovetide as to reduce waste.…
